Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Abnahmeort,Abgabeort
003,Versicherungs-Bescheinigung dazulegen,2024-03-04 23:27:25,David Meyer,"6,37",General Electric,Produkt B,"120,0",Lager I,Lager B
003,Ware verpacken,2024-03-05 00:14:25,Nico Schmidt,"3,46",General Electric,Produkt B,"120,0",Lager H,Lager F
003,Gewicht prüfen,2024-03-05 00:35:25,Lisa Mueller,"1,23",General Electric,Produkt B,"120,0",Lager G,Lager J
003,Anzahl der Artikel überprüfen,2024-03-05 01:33:25,Sophia Lang,"2,83",General Electric,Produkt B,"120,0",Lager H,Lager J
003,Verpackung prüfen,2024-03-05 02:00:25,Jan Becker,"4,08",General Electric,Produkt B,"120,0",Lager C,Lager H
003,Bezahlaufforderung an Kunde schicken,2024-03-05 02:49:25,Sophia Lang,"10,34",General Electric,Produkt B,"120,0",Lager B,Lager I
003,Informationen an Transporteur übermitteln,2024-03-05 03:30:25,Sophia Lang,"6,31",General Electric,Produkt B,"120,0",Lager C,Lager G
003,Paket an Transporteur übergeben,2024-03-05 04:04:25,Noah Becker,"7,83",General Electric,Produkt B,"120,0",Lager E,Lager A
003,Bestellstatus im System ändern,2024-03-05 04:14:25,Sophia Lang,"2,23",General Electric,Produkt B,"120,0",Lager D,Lager I
004,Vollständigkeit der Daten prüfen,2024-03-04 19:37:25,Jan Becker,"10,76",Nestlé,Produkt R,"130,0",Lager F,Lager E
004,Bestellung im System eintragen,2024-03-04 20:07:25,Noah Becker,"8,04",Nestlé,Produkt R,"130,0",Lager J,Lager I
004,Lagerbestand überprüfen,2024-03-04 21:03:25,Timo Wagner,"2,76",Nestlé,Produkt R,"130,0",Lager J,Lager J
004,Auftragsabwicklung im System starten,2024-03-04 21:57:25,Hannah Meyer,"6,05",Nestlé,Produkt R,"130,0",Lager I,Lager D
004,Artikel zusammenstellen,2024-03-04 22:54:25,Lisa Schulz,"3,13",Nestlé,Produkt R,"130,0",Lager B,Lager I
004,Ware verpacken,2024-03-04 22:58:25,Hannah Meyer,"5,26",Nestlé,Produkt R,"130,0",Lager H,Lager D
004,Gewicht prüfen,2024-03-04 23:38:25,Leonie Richter,"1,01",Nestlé,Produkt R,"130,0",Lager A,Lager E
004,Anzahl der Artikel überprüfen,2024-03-04 23:48:25,Lena Mueller,"4,18",Nestlé,Produkt R,"130,0",Lager B,Lager E
004,Verpackung prüfen,2024-03-04 23:59:25,Jonas Richter,"6,0",Nestlé,Produkt R,"130,0",Lager H,Lager B
004,Paket zur Warenausgabe bringen,2024-03-05 00:49:25,Laura Fischer,"8,15",Nestlé,Produkt R,"130,0",Lager B,Lager F
004,Paket an Kunde übergeben,2024-03-05 00:58:25,Sarah Schmidt,"8,29",Nestlé,Produkt R,"130,0",Lager B,Lager G
004,Bestellstatus im System ändern,2024-03-05 01:04:25,Emilia Wagner,"2,62",Nestlé,Produkt R,"130,0",Lager B,Lager C
005,Kunden-Daten aufnehmen,2024-03-04 19:37:25,Emilia Wagner,"2,73",Nestlé,Produkt C,"80,0",Lager B,Lager D
005,Kunden-Daten in System übertragen,2024-03-04 20:10:25,Emma Weber,"2,42",Nestlé,Produkt C,"80,0",Lager H,Lager G
005,Zahlvorgang abschließen,2024-03-04 20:34:25,Sarah Schmidt,"5,36",Nestlé,Produkt C,"80,0",Lager F,Lager J
005,Bestellung im System eintragen,2024-03-04 21:30:25,Jonas Richter,"8,65",Nestlé,Produkt C,"80,0",Lager A,Lager C
005,Lagerbestand überprüfen,2024-03-04 22:11:25,Lisa Mueller,"2,45",Nestlé,Produkt C,"80,0",Lager F,Lager B
005,Auftragsabwicklung im System starten,2024-03-04 22:22:25,Luca Huber,"9,42",Nestlé,Produkt C,"80,0",Lager D,Lager B
005,Artikel zusammenstellen,2024-03-04 23:05:25,Mia Schmitt,"4,4",Nestlé,Produkt C,"80,0",Lager I,Lager F
005,Ware verpacken,2024-03-05 00:05:25,Hannah Meyer,"4,96",Nestlé,Produkt C,"80,0",Lager J,Lager F
005,Gewicht prüfen,2024-03-05 00:17:25,Laura Fischer,"1,08",Nestlé,Produkt C,"80,0",Lager H,Lager B
005,Anzahl der Artikel überprüfen,2024-03-05 00:40:25,Jonas Richter,"4,95",Nestlé,Produkt C,"80,0",Lager G,Lager H
005,Verpackung prüfen,2024-03-05 01:39:25,Laura Fischer,"6,01",Nestlé,Produkt C,"80,0",Lager D,Lager H
005,Bezahlaufforderung an Kunde schicken,2024-03-05 02:07:25,Luca Huber,"8,0",Nestlé,Produkt C,"80,0",Lager A,Lager D
005,Informationen an Transporteur übermitteln,2024-03-05 02:52:25,Leonie Richter,"10,73",Nestlé,Produkt C,"80,0",Lager I,Lager I
005,Paket an Transporteur übergeben,2024-03-05 03:08:25,Leonie Richter,"10,04",Nestlé,Produkt C,"80,0",Lager F,Lager G
005,Bestellstatus im System ändern,2024-03-05 03:59:25,Lisa Mueller,"1,98",Nestlé,Produkt C,"80,0",Lager B,Lager H
006,Kunden-Daten aufnehmen,2024-03-04 19:37:25,David Meyer,"1,14",Volkswagen,Produkt L,"140,0",Lager A,Lager J
006,Kunden-Daten in System übertragen,2024-03-04 20:08:25,Max Mustermann,"3,48",Volkswagen,Produkt L,"140,0",Lager B,Lager E
006,Rechnungsadesse aufnehmen,2024-03-04 20:59:25,Jan Becker,"10,62",Volkswagen,Produkt L,"140,0",Lager B,Lager E
006,Rechnungsadesse im System eintragen,2024-03-04 21:43:25,Paul Zimmer,"11,86",Volkswagen,Produkt L,"140,0",Lager J,Lager B
006,Bestellung im System eintragen,2024-03-04 22:28:25,Laura Fischer,"5,63",Volkswagen,Produkt L,"140,0",Lager G,Lager C
006,Lagerbestand überprüfen,2024-03-04 23:21:25,Sophia Lang,"2,86",Volkswagen,Produkt L,"140,0",Lager H,Lager F
006,Auftragsabwicklung im System starten,2024-03-05 00:19:25,Mia Schmitt,"8,76",Volkswagen,Produkt L,"140,0",Lager I,Lager G
006,Artikel zusammenstellen,2024-03-05 00:54:25,Jan Becker,"2,62",Volkswagen,Produkt L,"140,0",Lager F,Lager G
006,Ware verpacken,2024-03-05 01:19:25,Paul Zimmer,"4,15",Volkswagen,Produkt L,"140,0",Lager B,Lager I
006,Gewicht prüfen,2024-03-05 01:22:25,Lisa Mueller,"1,38",Volkswagen,Produkt L,"140,0",Lager B,Lager C
006,Anzahl der Artikel überprüfen,2024-03-05 01:46:25,Hannah Meyer,"4,15",Volkswagen,Produkt L,"140,0",Lager G,Lager G
006,Verpackung prüfen,2024-03-05 02:00:25,Sophia Lang,"6,75",Volkswagen,Produkt L,"140,0",Lager B,Lager C
006,Paket zur Warenausgabe bringen,2024-03-05 02:55:25,Luca Huber,"5,87",Volkswagen,Produkt L,"140,0",Lager B,Lager I
006,Paket an Kunde übergeben,2024-03-05 03:26:25,Lisa Mueller,"6,92",Volkswagen,Produkt L,"140,0",Lager A,Lager G
006,Bestellstatus im System ändern,2024-03-05 04:17:25,Timo Wagner,"2,96",Volkswagen,Produkt L,"140,0",Lager D,Lager B
007,Kunden-Daten aufnehmen,2024-03-04 19:37:25,Hannah Meyer,"2,13",Boeing,Produkt I,"90,0",Lager F,Lager F
007,Kunden-Daten in System übertragen,2024-03-04 19:58:25,Jan Becker,"4,17",Boeing,Produkt I,"90,0",Lager C,Lager B
007,Zahlvorgang abschließen,2024-03-04 20:35:25,Laura Fischer,"3,24",Boeing,Produkt I,"90,0",Lager G,Lager D
007,Bestellung im System eintragen,2024-03-04 21:35:25,Laura Fischer,"8,13",Boeing,Produkt I,"90,0",Lager G,Lager C
007,Lagerbestand überprüfen,2024-03-04 21:58:25,Nico Schmidt,"2,69",Boeing,Produkt I,"90,0",Lager J,Lager E
007,Auftragsabwicklung im System starten,2024-03-04 22:30:25,Lisa Mueller,"7,42",Boeing,Produkt I,"90,0",Lager I,Lager G
007,Artikel zusammenstellen,2024-03-04 23:25:25,Sarah Schmidt,"2,65",Boeing,Produkt I,"90,0",Lager F,Lager B
007,Versicherungs-Bescheinigung dazulegen,2024-03-05 00:06:25,Luca Huber,"7,09",Boeing,Produkt I,"90,0",Lager H,Lager H
007,Ware verpacken,2024-03-05 00:55:25,Lena Mueller,"7,21",Boeing,Produkt I,"90,0",Lager C,Lager D
007,Gewicht prüfen,2024-03-05 01:35:25,Lisa Schulz,"1,52",Boeing,Produkt I,"90,0",Lager C,Lager D
007,Anzahl der Artikel überprüfen,2024-03-05 01:50:25,Jonas Richter,"2,52",Boeing,Produkt I,"90,0",Lager I,Lager F
007,Verpackung prüfen,2024-03-05 02:05:25,Mia Schmitt,"3,61",Boeing,Produkt I,"90,0",Lager J,Lager I
007,Bezahlaufforderung an Kunde schicken,2024-03-05 02:30:25,Timo Wagner,"11,58",Boeing,Produkt I,"90,0",Lager C,Lager I
007,Informationen an Transporteur übermitteln,2024-03-05 02:44:25,Lena Mueller,"8,28",Boeing,Produkt I,"90,0",Lager A,Lager G
007,Paket an Transporteur übergeben,2024-03-05 03:02:25,Noah Becker,"7,71",Boeing,Produkt I,"90,0",Lager A,Lager A
007,Bestellstatus im System ändern,2024-03-05 03:14:25,Timo Wagner,"1,23",Boeing,Produkt I,"90,0",Lager F,Lager I
008,Kunden-Daten aufnehmen,2024-03-04 19:37:25,Noah Becker,"1,24",Toyota,Produkt L,"140,0",Lager F,Lager C
008,Kunden-Daten in System übertragen,2024-03-04 20:33:25,Mia Schmitt,"3,93",Toyota,Produkt L,"140,0",Lager H,Lager D
008,Zahlvorgang abschließen,2024-03-04 21:31:25,David Meyer,"6,33",Toyota,Produkt L,"140,0",Lager I,Lager J
008,Bestellung im System eintragen,2024-03-04 21:33:25,Hannah Meyer,"6,63",Toyota,Produkt L,"140,0",Lager E,Lager E
008,Lagerbestand überprüfen,2024-03-04 22:24:25,Max Mustermann,"2,92",Toyota,Produkt L,"140,0",Lager G,Lager A
008,Auftragsabwicklung im System starten,2024-03-04 23:04:25,Timo Wagner,"5,76",Toyota,Produkt L,"140,0",Lager I,Lager D
008,Artikel zusammenstellen,2024-03-04 23:54:25,Lisa Mueller,"5,72",Toyota,Produkt L,"140,0",Lager E,Lager E
008,Versicherungs-Bescheinigung dazulegen,2024-03-05 00:35:25,Lisa Mueller,"9,59",Toyota,Produkt L,"140,0",Lager A,Lager J
008,Ware verpacken,2024-03-05 01:35:25,Emma Weber,"6,81",Toyota,Produkt L,"140,0",Lager D,Lager E
008,Gewicht prüfen,2024-03-05 02:30:25,Leonie Richter,"1,57",Toyota,Produkt L,"140,0",Lager A,Lager A
008,Anzahl der Artikel überprüfen,2024-03-05 02:41:25,Lisa Mueller,"3,48",Toyota,Produkt L,"140,0",Lager A,Lager I
008,Verpackung prüfen,2024-03-05 02:53:25,Lisa Schulz,"6,73",Toyota,Produkt L,"140,0",Lager A,Lager G
008,Paket zur Warenausgabe bringen,2024-03-05 02:57:25,Emma Weber,"8,58",Toyota,Produkt L,"140,0",Lager G,Lager J
008,Zahlungsabwicklung durchführen,2024-03-05 03:36:25,Noah Becker,"7,98",Toyota,Produkt L,"140,0",Lager A,Lager B
008,Paket an Kunde übergeben,2024-03-05 03:52:25,David Meyer,"5,94",Toyota,Produkt L,"140,0",Lager B,Lager H
008,Bestellstatus im System ändern,2024-03-05 04:47:25,Leonie Richter,"1,84",Toyota,Produkt L,"140,0",Lager A,Lager A
009,Kunden-Daten abfragen (automatische Übertragung ins System),2024-03-04 19:37:25,David Meyer,"10,61",Nestlé,Produkt D,"70,0",Lager C,Lager F
009,Bestellung im System eintragen,2024-03-04 20:34:25,Luca Huber,"5,69",Nestlé,Produkt D,"70,0",Lager F,Lager B
009,Lagerbestand überprüfen,2024-03-04 20:58:25,Nico Schmidt,"2,25",Nestlé,Produkt D,"70,0",Lager C,Lager F
009,Artikel bestellen,2024-03-04 21:48:25,Timo Wagner,"8,44",Nestlé,Produkt D,"70,0",Lager H,Lager J
009,Information an Kunde über verspätetet Lieferzeit verschicken,2024-03-04 22:18:25,Mia Schmitt,"7,53",Nestlé,Produkt D,"70,0",Lager J,Lager F
009,Auftragsabwicklung im System starten,2024-03-04 22:59:25,Jan Becker,"6,54",Nestlé,Produkt D,"70,0",Lager C,Lager B
009,Artikel zusammenstellen,2024-03-04 23:11:25,Lena Mueller,"5,67",Nestlé,Produkt D,"70,0",Lager J,Lager E
009,Ware verpacken,2024-03-04 23:26:25,Hannah Meyer,"6,7",Nestlé,Produkt D,"70,0",Lager G,Lager H
009,Gewicht prüfen,2024-03-04 23:57:25,Nico Schmidt,"1,22",Nestlé,Produkt D,"70,0",Lager B,Lager F
009,Anzahl der Artikel überprüfen,2024-03-05 00:53:25,Noah Becker,"4,79",Nestlé,Produkt D,"70,0",Lager I,Lager I
009,Verpackung prüfen,2024-03-05 01:45:25,Jonas Richter,"4,24",Nestlé,Produkt D,"70,0",Lager D,Lager J
009,Fehler im System eintrgen,2024-03-05 02:04:25,Noah Becker,"6,56",Nestlé,Produkt D,"70,0",Lager I,Lager I
009,Bestandsverwaltung informieren,2024-03-05 02:46:25,Emma Weber,"10,23",Nestlé,Produkt D,"70,0",Lager J,Lager J
009,Lagerbestand überprüfen,2024-03-05 03:41:25,Sarah Schmidt,"2,88",Nestlé,Produkt D,"70,0",Lager F,Lager I
009,Auftragsabwicklung im System starten,2024-03-05 03:45:25,Mia Schmitt,"7,95",Nestlé,Produkt D,"70,0",Lager E,Lager B
009,Artikel zusammenstellen,2024-03-05 04:01:25,Noah Becker,"5,27",Nestlé,Produkt D,"70,0",Lager E,Lager G
009,Ware verpacken,2024-03-05 04:12:25,David Meyer,"6,01",Nestlé,Produkt D,"70,0",Lager H,Lager B
009,Gewicht prüfen,2024-03-05 04:23:25,Sarah Schmidt,"2,95",Nestlé,Produkt D,"70,0",Lager H,Lager B
009,Anzahl der Artikel überprüfen,2024-03-05 05:14:25,Jan Becker,"3,57",Nestlé,Produkt D,"70,0",Lager J,Lager E
009,Verpackung prüfen,2024-03-05 06:03:25,David Meyer,"3,33",Nestlé,Produkt D,"70,0",Lager J,Lager E
009,Paket zur Warenausgabe bringen,2024-03-05 06:41:25,Lisa Mueller,"4,79",Nestlé,Produkt D,"70,0",Lager C,Lager E
009,Paket an Kunde übergeben,2024-03-05 07:12:25,Lena Mueller,"9,42",Nestlé,Produkt D,"70,0",Lager D,Lager C
009,Bestellstatus im System ändern,2024-03-05 07:40:25,Max Mustermann,"1,45",Nestlé,Produkt D,"70,0",Lager C,Lager A
010,Kunden-Daten aufnehmen,2024-03-04 19:37:25,Jan Becker,"2,71",Samsung Electronics,Produkt J,"75,0",Lager A,Lager E
010,Kunden-Daten in System übertragen,2024-03-04 20:01:25,Timo Wagner,"3,88",Samsung Electronics,Produkt J,"75,0",Lager C,Lager J
010,Zahlvorgang abschließen,2024-03-04 20:38:25,Laura Fischer,"3,47",Samsung Electronics,Produkt J,"75,0",Lager G,Lager J
010,Bestellung im System eintragen,2024-03-04 20:52:25,Noah Becker,"4,56",Samsung Electronics,Produkt J,"75,0",Lager A,Lager J
010,Lagerbestand überprüfen,2024-03-04 20:59:25,Sophia Lang,"2,43",Samsung Electronics,Produkt J,"75,0",Lager J,Lager D
010,Auftragsabwicklung im System starten,2024-03-04 21:06:25,Hannah Meyer,"6,47",Samsung Electronics,Produkt J,"75,0",Lager G,Lager G
010,Artikel zusammenstellen,2024-03-04 21:22:25,Lena Mueller,"3,24",Samsung Electronics,Produkt J,"75,0",Lager F,Lager H
010,Ware verpacken,2024-03-04 21:56:25,Hannah Meyer,"3,72",Samsung Electronics,Produkt J,"75,0",Lager H,Lager G
010,Gewicht prüfen,2024-03-04 22:30:25,Max Mustermann,"1,96",Samsung Electronics,Produkt J,"75,0",Lager A,Lager G
010,Anzahl der Artikel überprüfen,2024-03-04 22:54:25,Lena Mueller,"4,3",Samsung Electronics,Produkt J,"75,0",Lager B,Lager H
010,Verpackung prüfen,2024-03-04 23:26:25,Lena Mueller,"3,74",Samsung Electronics,Produkt J,"75,0",Lager B,Lager E
010,Paket zur Warenausgabe bringen,2024-03-04 23:44:25,Lisa Mueller,"6,61",Samsung Electronics,Produkt J,"75,0",Lager D,Lager J
010,Paket an Kunde übergeben,2024-03-05 00:36:25,Leonie Richter,"6,68",Samsung Electronics,Produkt J,"75,0",Lager C,Lager H
010,Bestellstatus im System ändern,2024-03-05 01:28:25,Paul Zimmer,"1,89",Samsung Electronics,Produkt J,"75,0",Lager B,Lager C
011,Kunden-Daten aufnehmen,2024-03-04 19:37:25,Lisa Mueller,"1,31",Siemens,Produkt Q,"110,0",Lager H,Lager C
011,Kunden-Daten in System übertragen,2024-03-04 20:21:25,Emilia Wagner,"2,71",Siemens,Produkt Q,"110,0",Lager F,Lager D
011,Zahlvorgang abschließen,2024-03-04 20:49:25,Emma Weber,"4,28",Siemens,Produkt Q,"110,0",Lager J,Lager B
011,Bestellung im System eintragen,2024-03-04 21:43:25,Sophia Lang,"6,57",Siemens,Produkt Q,"110,0",Lager B,Lager J
011,Lagerbestand überprüfen,2024-03-04 22:38:25,Sophia Lang,"2,9",Siemens,Produkt Q,"110,0",Lager D,Lager C
011,Auftragsabwicklung im System starten,2024-03-04 23:13:25,Luca Huber,"5,38",Siemens,Produkt Q,"110,0",Lager B,Lager F
011,Artikel zusammenstellen,2024-03-04 23:41:25,Jan Becker,"3,55",Siemens,Produkt Q,"110,0",Lager H,Lager A
011,Ware verpacken,2024-03-05 00:33:25,Nico Schmidt,"7,14",Siemens,Produkt Q,"110,0",Lager F,Lager G
011,Gewicht prüfen,2024-03-05 01:28:25,Jan Becker,"1,09",Siemens,Produkt Q,"110,0",Lager J,Lager A
011,Anzahl der Artikel überprüfen,2024-03-05 01:37:25,David Meyer,"4,52",Siemens,Produkt Q,"110,0",Lager E,Lager G
011,Verpackung prüfen,2024-03-05 02:01:25,Sarah Schmidt,"3,68",Siemens,Produkt Q,"110,0",Lager I,Lager F
011,Fehler im System eintrgen,2024-03-05 02:59:25,Luca Huber,"11,32",Siemens,Produkt Q,"110,0",Lager I,Lager H
011,Bestandsverwaltung informieren,2024-03-05 03:24:25,Hannah Meyer,"10,82",Siemens,Produkt Q,"110,0",Lager H,Lager F
011,Lagerbestand überprüfen,2024-03-05 03:39:25,Sarah Schmidt,"2,11",Siemens,Produkt Q,"110,0",Lager C,Lager D
011,Auftragsabwicklung im System starten,2024-03-05 03:44:25,Hannah Meyer,"8,32",Siemens,Produkt Q,"110,0",Lager E,Lager J
011,Artikel zusammenstellen,2024-03-05 04:36:25,Jonas Richter,"5,48",Siemens,Produkt Q,"110,0",Lager A,Lager G
011,Ware verpacken,2024-03-05 05:02:25,Luca Huber,"3,02",Siemens,Produkt Q,"110,0",Lager D,Lager F
011,Gewicht prüfen,2024-03-05 05:51:25,Leonie Richter,"2,62",Siemens,Produkt Q,"110,0",Lager A,Lager E
011,Anzahl der Artikel überprüfen,2024-03-05 06:35:25,Jonas Richter,"4,76",Siemens,Produkt Q,"110,0",Lager C,Lager H
011,Verpackung prüfen,2024-03-05 06:40:25,Emma Weber,"4,59",Siemens,Produkt Q,"110,0",Lager H,Lager B
011,Paket zur Warenausgabe bringen,2024-03-05 07:25:25,Lisa Schulz,"8,45",Siemens,Produkt Q,"110,0",Lager J,Lager C
011,Zahlungsabwicklung durchführen,2024-03-05 08:24:25,Lisa Schulz,"8,24",Siemens,Produkt Q,"110,0",Lager J,Lager A
011,Paket an Kunde übergeben,2024-03-05 08:51:25,Lisa Mueller,"9,81",Siemens,Produkt Q,"110,0",Lager A,Lager J
011,Bestellstatus im System ändern,2024-03-05 08:58:25,Lisa Mueller,"1,85",Siemens,Produkt Q,"110,0",Lager J,Lager E
012,Kunden-Daten aufnehmen,2024-03-04 19:37:25,Emilia Wagner,"2,36",Nestlé,Produkt K,"110,0",Lager I,Lager E
012,Kunden-Daten in System übertragen,2024-03-04 20:04:25,Lena Mueller,"4,85",Nestlé,Produkt K,"110,0",Lager I,Lager H
012,Rechnungsadesse aufnehmen,2024-03-04 21:01:25,Sarah Schmidt,"11,16",Nestlé,Produkt K,"110,0",Lager H,Lager B
012,Rechnungsadesse im System eintragen,2024-03-04 21:52:25,Lena Mueller,"10,36",Nestlé,Produkt K,"110,0",Lager D,Lager G
012,Bestellung im System eintragen,2024-03-04 22:38:25,Noah Becker,"8,83",Nestlé,Produkt K,"110,0",Lager I,Lager A
012,Lagerbestand überprüfen,2024-03-04 23:06:25,Jan Becker,"1,92",Nestlé,Produkt K,"110,0",Lager H,Lager E
012,Auftragsabwicklung im System starten,2024-03-04 23:09:25,Sarah Schmidt,"9,88",Nestlé,Produkt K,"110,0",Lager A,Lager D
012,Artikel zusammenstellen,2024-03-04 23:43:25,Timo Wagner,"3,56",Nestlé,Produkt K,"110,0",Lager A,Lager I
012,Ware verpacken,2024-03-05 00:03:25,Timo Wagner,"5,09",Nestlé,Produkt K,"110,0",Lager D,Lager E
012,Gewicht prüfen,2024-03-05 00:32:25,Noah Becker,"1,56",Nestlé,Produkt K,"110,0",Lager C,Lager F
012,Anzahl der Artikel überprüfen,2024-03-05 00:47:25,Lisa Schulz,"2,65",Nestlé,Produkt K,"110,0",Lager F,Lager H
012,Verpackung prüfen,2024-03-05 01:43:25,Hannah Meyer,"3,38",Nestlé,Produkt K,"110,0",Lager I,Lager H
012,Bezahlaufforderung an Kunde schicken,2024-03-05 02:36:25,Mia Schmitt,"10,57",Nestlé,Produkt K,"110,0",Lager G,Lager F
012,Informationen an Transporteur übermitteln,2024-03-05 03:24:25,Emilia Wagner,"11,28",Nestlé,Produkt K,"110,0",Lager C,Lager I
012,Paket an Transporteur übergeben,2024-03-05 04:12:25,Lisa Mueller,"11,88",Nestlé,Produkt K,"110,0",Lager D,Lager F
012,Bestellstatus im System ändern,2024-03-05 05:04:25,Paul Zimmer,"1,27",Nestlé,Produkt K,"110,0",Lager G,Lager D
013,Kunden-Daten abfragen (automatische Übertragung ins System),2024-03-04 19:37:25,Timo Wagner,"6,05",Intel,Produkt T,"85,0",Lager A,Lager G
013,Bestellung im System eintragen,2024-03-04 20:01:25,Lena Mueller,"7,18",Intel,Produkt T,"85,0",Lager J,Lager C
013,Lagerbestand überprüfen,2024-03-04 20:28:25,Max Mustermann,"2,38",Intel,Produkt T,"85,0",Lager F,Lager G
013,Artikel bestellen,2024-03-04 20:33:25,Lisa Mueller,"7,27",Intel,Produkt T,"85,0",Lager H,Lager J
013,Information an Kunde über verspätetet Lieferzeit verschicken,2024-03-04 20:49:25,Luca Huber,"7,28",Intel,Produkt T,"85,0",Lager A,Lager A
013,Auftragsabwicklung im System starten,2024-03-04 21:17:25,Max Mustermann,"5,03",Intel,Produkt T,"85,0",Lager H,Lager C
013,Artikel zusammenstellen,2024-03-04 22:07:25,Laura Fischer,"2,08",Intel,Produkt T,"85,0",Lager G,Lager A
