Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Abnahmeort,Abgabeort
008,Anzahl der Artikel überprüfen,2024-02-27 06:27:21,Jonas Richter,"4,68",PepsiCo,Produkt S,"90,0",Lager F,Lager J
008,Verpackung prüfen,2024-02-27 07:11:21,Emilia Wagner,"4,34",PepsiCo,Produkt S,"90,0",Lager I,Lager C
008,Informationen an Transporteur übermitteln,2024-02-27 07:28:21,Emma Weber,"3,04",PepsiCo,Produkt S,"90,0",Lager F,Lager A
008,Paket an Transporteur übergeben,2024-02-27 08:18:21,Emilia Wagner,"4,63",PepsiCo,Produkt S,"90,0",Lager C,Lager B
008,Bestellstatus im System ändern,2024-02-27 08:23:21,David Meyer,"2,32",PepsiCo,Produkt S,"90,0",Lager H,Lager B
009,Kunden-Daten aufnehmen,2024-02-26 20:46:21,Jonas Richter,"2,51",Ford Motor,Produkt B,"120,0",Lager B,Lager H
009,Kunden-Daten in System übertragen,2024-02-26 21:21:21,Emma Weber,"2,68",Ford Motor,Produkt B,"120,0",Lager C,Lager H
009,Zahlvorgang abschließen,2024-02-26 21:25:21,Sarah Schmidt,"4,65",Ford Motor,Produkt B,"120,0",Lager A,Lager C
009,Bestellung im System eintragen,2024-02-26 21:31:21,Sophia Lang,"4,09",Ford Motor,Produkt B,"120,0",Lager I,Lager I
009,Lagerbestand überprüfen,2024-02-26 22:23:21,Paul Zimmer,"2,12",Ford Motor,Produkt B,"120,0",Lager C,Lager G
009,Auftragsabwicklung im System starten,2024-02-26 23:13:21,Leonie Richter,"5,17",Ford Motor,Produkt B,"120,0",Lager D,Lager I
009,Artikel zusammenstellen,2024-02-26 23:59:21,Mia Schmitt,"5,06",Ford Motor,Produkt B,"120,0",Lager B,Lager B
009,Ware verpacken,2024-02-27 00:29:21,Luca Huber,"3,76",Ford Motor,Produkt B,"120,0",Lager D,Lager D
009,Gewicht prüfen,2024-02-27 01:11:21,Jonas Richter,"1,12",Ford Motor,Produkt B,"120,0",Lager B,Lager I
009,Anzahl der Artikel überprüfen,2024-02-27 01:41:21,Timo Wagner,"2,36",Ford Motor,Produkt B,"120,0",Lager A,Lager C
009,Verpackung prüfen,2024-02-27 02:08:21,Luca Huber,"6,91",Ford Motor,Produkt B,"120,0",Lager G,Lager F
009,Fehler im System eintrgen,2024-02-27 02:24:21,Jonas Richter,"1,74",Ford Motor,Produkt B,"120,0",Lager A,Lager C
009,Bestandsverwaltung informieren,2024-02-27 03:02:21,Jan Becker,"4,7",Ford Motor,Produkt B,"120,0",Lager B,Lager H
009,Lagerbestand überprüfen,2024-02-27 03:08:21,Leonie Richter,"2,56",Ford Motor,Produkt B,"120,0",Lager C,Lager H
009,Auftragsabwicklung im System starten,2024-02-27 03:26:21,Emilia Wagner,"8,04",Ford Motor,Produkt B,"120,0",Lager D,Lager J
009,Artikel zusammenstellen,2024-02-27 04:23:21,Lisa Schulz,"3,3",Ford Motor,Produkt B,"120,0",Lager D,Lager G
009,Ware verpacken,2024-02-27 04:34:21,Paul Zimmer,"4,39",Ford Motor,Produkt B,"120,0",Lager H,Lager E
009,Gewicht prüfen,2024-02-27 05:18:21,Laura Fischer,"1,75",Ford Motor,Produkt B,"120,0",Lager J,Lager I
009,Anzahl der Artikel überprüfen,2024-02-27 05:35:21,Sophia Lang,"2,24",Ford Motor,Produkt B,"120,0",Lager I,Lager C
009,Verpackung prüfen,2024-02-27 06:28:21,Hannah Meyer,"4,77",Ford Motor,Produkt B,"120,0",Lager A,Lager H
009,Paket zur Warenausgabe bringen,2024-02-27 06:49:21,Jan Becker,"4,81",Ford Motor,Produkt B,"120,0",Lager H,Lager G
009,Paket an Kunde übergeben,2024-02-27 07:20:21,Emma Weber,"5,92",Ford Motor,Produkt B,"120,0",Lager F,Lager C
009,Bestellstatus im System ändern,2024-02-27 07:37:21,Timo Wagner,"1,41",Ford Motor,Produkt B,"120,0",Lager B,Lager G
010,Kunden-Daten aufnehmen,2024-02-26 20:46:21,Noah Becker,"1,07",Sony,Produkt T,"85,0",Lager A,Lager A
010,Kunden-Daten in System übertragen,2024-02-26 21:23:21,Paul Zimmer,"4,94",Sony,Produkt T,"85,0",Lager E,Lager H
010,Zahlvorgang abschließen,2024-02-26 21:58:21,Hannah Meyer,"4,09",Sony,Produkt T,"85,0",Lager F,Lager B
010,Bestellung im System eintragen,2024-02-26 22:19:21,Jonas Richter,"8,03",Sony,Produkt T,"85,0",Lager E,Lager D
010,Lagerbestand überprüfen,2024-02-26 23:16:21,Timo Wagner,"2,92",Sony,Produkt T,"85,0",Lager J,Lager G
010,Auftragsabwicklung im System starten,2024-02-27 00:15:21,Jonas Richter,"8,32",Sony,Produkt T,"85,0",Lager G,Lager I
010,Artikel zusammenstellen,2024-02-27 00:34:21,Lisa Schulz,"4,25",Sony,Produkt T,"85,0",Lager A,Lager B
010,Ware verpacken,2024-02-27 00:54:21,Mia Schmitt,"6,14",Sony,Produkt T,"85,0",Lager A,Lager D
010,Gewicht prüfen,2024-02-27 01:50:21,Sarah Schmidt,"2,33",Sony,Produkt T,"85,0",Lager I,Lager B
010,Anzahl der Artikel überprüfen,2024-02-27 02:24:21,Jan Becker,"4,42",Sony,Produkt T,"85,0",Lager E,Lager G
010,Verpackung prüfen,2024-02-27 03:08:21,Leonie Richter,"3,12",Sony,Produkt T,"85,0",Lager G,Lager B
010,Fehler im System eintrgen,2024-02-27 03:40:21,Leonie Richter,"4,49",Sony,Produkt T,"85,0",Lager F,Lager J
010,Bestandsverwaltung informieren,2024-02-27 04:38:21,Timo Wagner,"1,7",Sony,Produkt T,"85,0",Lager I,Lager C
010,Lagerbestand überprüfen,2024-02-27 05:10:21,Sophia Lang,"2,06",Sony,Produkt T,"85,0",Lager D,Lager A
010,Auftragsabwicklung im System starten,2024-02-27 05:22:21,Lisa Schulz,"7,34",Sony,Produkt T,"85,0",Lager E,Lager A
010,Artikel zusammenstellen,2024-02-27 05:34:21,Lisa Mueller,"4,42",Sony,Produkt T,"85,0",Lager F,Lager F
010,Ware verpacken,2024-02-27 05:35:21,Lena Mueller,"7,59",Sony,Produkt T,"85,0",Lager B,Lager E
010,Gewicht prüfen,2024-02-27 06:14:21,Nico Schmidt,"1,47",Sony,Produkt T,"85,0",Lager A,Lager F
010,Anzahl der Artikel überprüfen,2024-02-27 06:41:21,Max Mustermann,"4,22",Sony,Produkt T,"85,0",Lager H,Lager E
010,Verpackung prüfen,2024-02-27 07:10:21,Hannah Meyer,"5,45",Sony,Produkt T,"85,0",Lager F,Lager I
010,Bezahlaufforderung an Kunde schicken,2024-02-27 07:48:21,Sophia Lang,"4,25",Sony,Produkt T,"85,0",Lager I,Lager I
010,Informationen an Transporteur übermitteln,2024-02-27 07:55:21,Sarah Schmidt,"9,22",Sony,Produkt T,"85,0",Lager E,Lager F
010,Paket an Transporteur übergeben,2024-02-27 08:37:21,Timo Wagner,"9,2",Sony,Produkt T,"85,0",Lager I,Lager I
010,Bestellstatus im System ändern,2024-02-27 09:14:21,Emma Weber,"2,03",Sony,Produkt T,"85,0",Lager F,Lager J
011,Kunden-Daten aufnehmen,2024-02-26 20:46:21,Max Mustermann,"1,92",Volkswagen,Produkt J,"75,0",Lager C,Lager A
011,Kunden-Daten in System übertragen,2024-02-26 21:31:21,Emma Weber,"2,51",Volkswagen,Produkt J,"75,0",Lager A,Lager F
011,Zahlvorgang abschließen,2024-02-26 22:11:21,Max Mustermann,"5,52",Volkswagen,Produkt J,"75,0",Lager H,Lager G
011,Bestellung im System eintragen,2024-02-26 23:10:21,Timo Wagner,"5,62",Volkswagen,Produkt J,"75,0",Lager E,Lager I
011,Lagerbestand überprüfen,2024-02-26 23:37:21,Max Mustermann,"2,62",Volkswagen,Produkt J,"75,0",Lager D,Lager C
011,Auftragsabwicklung im System starten,2024-02-27 00:25:21,Noah Becker,"5,53",Volkswagen,Produkt J,"75,0",Lager J,Lager J
011,Artikel zusammenstellen,2024-02-27 01:14:21,Hannah Meyer,"3,57",Volkswagen,Produkt J,"75,0",Lager E,Lager B
011,Ware verpacken,2024-02-27 02:07:21,Lena Mueller,"4,45",Volkswagen,Produkt J,"75,0",Lager J,Lager F
011,Gewicht prüfen,2024-02-27 02:54:21,Paul Zimmer,"1,88",Volkswagen,Produkt J,"75,0",Lager A,Lager I
011,Anzahl der Artikel überprüfen,2024-02-27 03:30:21,Jan Becker,"2,6",Volkswagen,Produkt J,"75,0",Lager D,Lager B
011,Verpackung prüfen,2024-02-27 04:23:21,Lena Mueller,"5,27",Volkswagen,Produkt J,"75,0",Lager B,Lager I
011,Fehler im System eintrgen,2024-02-27 04:46:21,Hannah Meyer,"1,25",Volkswagen,Produkt J,"75,0",Lager J,Lager I
011,Bestandsverwaltung informieren,2024-02-27 04:49:21,Luca Huber,"1,27",Volkswagen,Produkt J,"75,0",Lager I,Lager B
011,Lagerbestand überprüfen,2024-02-27 05:27:21,Sarah Schmidt,"1,31",Volkswagen,Produkt J,"75,0",Lager I,Lager H
011,Auftragsabwicklung im System starten,2024-02-27 06:14:21,Sarah Schmidt,"5,03",Volkswagen,Produkt J,"75,0",Lager A,Lager H
011,Artikel zusammenstellen,2024-02-27 06:30:21,Max Mustermann,"2,29",Volkswagen,Produkt J,"75,0",Lager E,Lager I
011,Ware verpacken,2024-02-27 06:34:21,Sophia Lang,"7,92",Volkswagen,Produkt J,"75,0",Lager D,Lager D
011,Gewicht prüfen,2024-02-27 06:49:21,Jonas Richter,"2,02",Volkswagen,Produkt J,"75,0",Lager H,Lager H
011,Anzahl der Artikel überprüfen,2024-02-27 07:19:21,Max Mustermann,"4,98",Volkswagen,Produkt J,"75,0",Lager I,Lager J
011,Verpackung prüfen,2024-02-27 07:46:21,Nico Schmidt,"4,37",Volkswagen,Produkt J,"75,0",Lager G,Lager D
011,Paket zur Warenausgabe bringen,2024-02-27 08:44:21,David Meyer,"7,85",Volkswagen,Produkt J,"75,0",Lager B,Lager A
011,Paket an Kunde übergeben,2024-02-27 09:15:21,Lisa Schulz,"6,83",Volkswagen,Produkt J,"75,0",Lager H,Lager B
011,Bestellstatus im System ändern,2024-02-27 09:58:21,Noah Becker,"2,08",Volkswagen,Produkt J,"75,0",Lager I,Lager C
012,Kunden-Daten aufnehmen,2024-02-26 20:46:21,Sophia Lang,"2,8",Volkswagen,Produkt B,"120,0",Lager E,Lager E
012,Kunden-Daten in System übertragen,2024-02-26 21:14:21,Nico Schmidt,"4,37",Volkswagen,Produkt B,"120,0",Lager D,Lager C
