Fallnummer,Aktivität,Zeitstempel,Abteilung,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Abnahmeort,Abgabeort
002,Bestellung im System eintragen,2024-03-04 22:19:20,Auftragsannahme,Jan Becker,"7,18",Samsung Electronics,Produkt P,"100,0",Lager H,Lager F
002,Lagerbestand überprüfen,2024-03-04 22:48:20,Bestandsverwaltung,Noah Becker,"2,78",Samsung Electronics,Produkt P,"100,0",Lager I,Lager H
002,Auftragsabwicklung im System starten,2024-03-04 22:58:20,Bestandsverwaltung,Mia Schmitt,"8,67",Samsung Electronics,Produkt P,"100,0",Lager A,Lager B
002,Artikel zusammenstellen,2024-03-04 23:49:20,Lager,Sophia Lang,"3,27",Samsung Electronics,Produkt P,"100,0",Lager G,Lager E
002,Ware verpacken,2024-03-05 00:30:20,Lager,Hannah Meyer,"4,54",Samsung Electronics,Produkt P,"100,0",Lager C,Lager D
002,Gewicht prüfen,2024-03-05 00:36:20,Qualitätskontrolle,Jan Becker,"1,71",Samsung Electronics,Produkt P,"100,0",Lager G,Lager G
002,Anzahl der Artikel überprüfen,2024-03-05 01:22:20,Qualitätskontrolle,Mia Schmitt,"4,93",Samsung Electronics,Produkt P,"100,0",Lager C,Lager J
002,Verpackung prüfen,2024-03-05 01:44:20,Qualitätskontrolle,Luca Huber,"3,32",Samsung Electronics,Produkt P,"100,0",Lager B,Lager E
002,Paket zur Warenausgabe bringen,2024-03-05 02:36:20,Warenausgang,Emma Weber,"8,02",Samsung Electronics,Produkt P,"100,0",Lager H,Lager E
002,Paket an Kunde übergeben,2024-03-05 02:38:20,Warenausgang,Max Mustermann,"9,64",Samsung Electronics,Produkt P,"100,0",Lager J,Lager I
002,Bestellstatus im System ändern,2024-03-05 03:09:20,Warenausgang,Emilia Wagner,"1,55",Samsung Electronics,Produkt P,"100,0",Lager G,Lager H
003,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Leonie Richter,"1,15",Samsung Electronics,Produkt H,"130,0",Lager A,Lager D
003,Kunden-Daten in System übertragen,2024-03-04 21:10:20,Auftragsannahme,Jan Becker,"4,98",Samsung Electronics,Produkt H,"130,0",Lager D,Lager D
003,Zahlvorgang abschließen,2024-03-04 21:33:20,Auftragsannahme,Lena Mueller,"5,37",Samsung Electronics,Produkt H,"130,0",Lager E,Lager A
003,Bestellung im System eintragen,2024-03-04 22:31:20,Auftragsannahme,Jonas Richter,"8,07",Samsung Electronics,Produkt H,"130,0",Lager D,Lager D
003,Lagerbestand überprüfen,2024-03-04 22:49:20,Bestandsverwaltung,Noah Becker,"2,61",Samsung Electronics,Produkt H,"130,0",Lager C,Lager D
003,Auftragsabwicklung im System starten,2024-03-04 23:20:20,Bestandsverwaltung,Lisa Mueller,"9,35",Samsung Electronics,Produkt H,"130,0",Lager F,Lager H
003,Artikel zusammenstellen,2024-03-04 23:45:20,Lager,Mia Schmitt,"5,53",Samsung Electronics,Produkt H,"130,0",Lager G,Lager F
003,Ware verpacken,2024-03-05 00:45:20,Lager,David Meyer,"7,55",Samsung Electronics,Produkt H,"130,0",Lager I,Lager H
003,Gewicht prüfen,2024-03-05 01:08:20,Qualitätskontrolle,Paul Zimmer,"2,45",Samsung Electronics,Produkt H,"130,0",Lager D,Lager G
003,Anzahl der Artikel überprüfen,2024-03-05 01:53:20,Qualitätskontrolle,Paul Zimmer,"4,66",Samsung Electronics,Produkt H,"130,0",Lager G,Lager B
003,Verpackung prüfen,2024-03-05 02:03:20,Qualitätskontrolle,Sophia Lang,"5,15",Samsung Electronics,Produkt H,"130,0",Lager J,Lager J
003,Paket zur Warenausgabe bringen,2024-03-05 02:18:20,Warenausgang,Emma Weber,"7,85",Samsung Electronics,Produkt H,"130,0",Lager H,Lager B
003,Zahlungsabwicklung durchführen,2024-03-05 02:45:20,Warenausgang,Emilia Wagner,"11,94",Samsung Electronics,Produkt H,"130,0",Lager I,Lager G
003,Paket an Kunde übergeben,2024-03-05 02:48:20,Warenausgang,Luca Huber,"8,13",Samsung Electronics,Produkt H,"130,0",Lager I,Lager H
003,Bestellstatus im System ändern,2024-03-05 03:39:20,Warenausgang,Nico Schmidt,"2,04",Samsung Electronics,Produkt H,"130,0",Lager D,Lager H
004,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Max Mustermann,"2,11",Airbus,Produkt O,"120,0",Lager J,Lager D
004,Kunden-Daten in System übertragen,2024-03-04 21:21:20,Auftragsannahme,Lena Mueller,"2,31",Airbus,Produkt O,"120,0",Lager D,Lager H
004,Zahlvorgang abschließen,2024-03-04 21:36:20,Auftragsannahme,Timo Wagner,"5,31",Airbus,Produkt O,"120,0",Lager I,Lager D
004,Bestellung im System eintragen,2024-03-04 22:23:20,Auftragsannahme,David Meyer,"7,95",Airbus,Produkt O,"120,0",Lager G,Lager B
004,Lagerbestand überprüfen,2024-03-04 22:39:20,Bestandsverwaltung,Lisa Mueller,"2,81",Airbus,Produkt O,"120,0",Lager E,Lager I
004,Auftragsabwicklung im System starten,2024-03-04 23:02:20,Bestandsverwaltung,Leonie Richter,"8,41",Airbus,Produkt O,"120,0",Lager A,Lager A
004,Artikel zusammenstellen,2024-03-04 23:56:20,Lager,Sophia Lang,"4,8",Airbus,Produkt O,"120,0",Lager C,Lager D
004,Ware verpacken,2024-03-05 00:19:20,Lager,Lisa Mueller,"7,55",Airbus,Produkt O,"120,0",Lager C,Lager I
004,Gewicht prüfen,2024-03-05 00:23:20,Qualitätskontrolle,David Meyer,"1,41",Airbus,Produkt O,"120,0",Lager B,Lager A
004,Anzahl der Artikel überprüfen,2024-03-05 00:56:20,Qualitätskontrolle,Paul Zimmer,"4,59",Airbus,Produkt O,"120,0",Lager F,Lager D
004,Verpackung prüfen,2024-03-05 01:36:20,Qualitätskontrolle,Mia Schmitt,"5,74",Airbus,Produkt O,"120,0",Lager B,Lager H
004,Paket zur Warenausgabe bringen,2024-03-05 02:11:20,Warenausgang,Emilia Wagner,"4,86",Airbus,Produkt O,"120,0",Lager A,Lager J
004,Paket an Kunde übergeben,2024-03-05 03:05:20,Warenausgang,Paul Zimmer,"6,16",Airbus,Produkt O,"120,0",Lager H,Lager E
004,Bestellstatus im System ändern,2024-03-05 03:20:20,Warenausgang,Lena Mueller,"2,29",Airbus,Produkt O,"120,0",Lager H,Lager F
005,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Laura Fischer,"1,53",Mitsubishi Electric,Produkt N,"75,0",Lager G,Lager I
005,Kunden-Daten in System übertragen,2024-03-04 20:42:20,Auftragsannahme,Lena Mueller,"3,19",Mitsubishi Electric,Produkt N,"75,0",Lager A,Lager F
005,Zahlvorgang abschließen,2024-03-04 20:58:20,Auftragsannahme,David Meyer,"5,97",Mitsubishi Electric,Produkt N,"75,0",Lager E,Lager A
005,Bestellung im System eintragen,2024-03-04 21:53:20,Auftragsannahme,Nico Schmidt,"5,54",Mitsubishi Electric,Produkt N,"75,0",Lager A,Lager E
005,Lagerbestand überprüfen,2024-03-04 22:52:20,Bestandsverwaltung,Mia Schmitt,"2,43",Mitsubishi Electric,Produkt N,"75,0",Lager F,Lager J
005,Auftragsabwicklung im System starten,2024-03-04 23:05:20,Bestandsverwaltung,Noah Becker,"6,9",Mitsubishi Electric,Produkt N,"75,0",Lager A,Lager B
005,Artikel zusammenstellen,2024-03-04 23:46:20,Lager,Emma Weber,"2,9",Mitsubishi Electric,Produkt N,"75,0",Lager A,Lager J
005,Ware verpacken,2024-03-05 00:28:20,Lager,Mia Schmitt,"4,02",Mitsubishi Electric,Produkt N,"75,0",Lager D,Lager D
005,Gewicht prüfen,2024-03-05 01:08:20,Qualitätskontrolle,Laura Fischer,"2,52",Mitsubishi Electric,Produkt N,"75,0",Lager D,Lager B
005,Anzahl der Artikel überprüfen,2024-03-05 01:32:20,Qualitätskontrolle,Jonas Richter,"3,17",Mitsubishi Electric,Produkt N,"75,0",Lager C,Lager D
005,Verpackung prüfen,2024-03-05 02:28:20,Qualitätskontrolle,Sarah Schmidt,"4,38",Mitsubishi Electric,Produkt N,"75,0",Lager E,Lager D
005,Paket zur Warenausgabe bringen,2024-03-05 02:59:20,Warenausgang,Paul Zimmer,"6,56",Mitsubishi Electric,Produkt N,"75,0",Lager G,Lager I
005,Zahlungsabwicklung durchführen,2024-03-05 03:44:20,Warenausgang,Jonas Richter,"9,01",Mitsubishi Electric,Produkt N,"75,0",Lager A,Lager B
005,Paket an Kunde übergeben,2024-03-05 04:09:20,Warenausgang,Lena Mueller,"7,96",Mitsubishi Electric,Produkt N,"75,0",Lager G,Lager C
005,Bestellstatus im System ändern,2024-03-05 04:58:20,Warenausgang,Mia Schmitt,"1,87",Mitsubishi Electric,Produkt N,"75,0",Lager F,Lager C
006,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Lisa Schulz,"1,65",Toyota,Produkt H,"130,0",Lager A,Lager E
006,Kunden-Daten in System übertragen,2024-03-04 21:25:20,Auftragsannahme,David Meyer,"4,58",Toyota,Produkt H,"130,0",Lager E,Lager F
006,Zahlvorgang abschließen,2024-03-04 22:17:20,Auftragsannahme,Sophia Lang,"4,95",Toyota,Produkt H,"130,0",Lager J,Lager J
006,Bestellung im System eintragen,2024-03-04 22:56:20,Auftragsannahme,Lisa Mueller,"6,99",Toyota,Produkt H,"130,0",Lager G,Lager A
006,Lagerbestand überprüfen,2024-03-04 23:23:20,Bestandsverwaltung,Nico Schmidt,"2,23",Toyota,Produkt H,"130,0",Lager H,Lager A
006,Auftragsabwicklung im System starten,2024-03-04 23:51:20,Bestandsverwaltung,Laura Fischer,"9,09",Toyota,Produkt H,"130,0",Lager C,Lager I
006,Artikel zusammenstellen,2024-03-05 00:38:20,Lager,Timo Wagner,"5,12",Toyota,Produkt H,"130,0",Lager D,Lager F
006,Ware verpacken,2024-03-05 00:39:20,Lager,Hannah Meyer,"5,19",Toyota,Produkt H,"130,0",Lager J,Lager J
006,Gewicht prüfen,2024-03-05 00:48:20,Qualitätskontrolle,Mia Schmitt,"1,62",Toyota,Produkt H,"130,0",Lager I,Lager E
006,Anzahl der Artikel überprüfen,2024-03-05 01:04:20,Qualitätskontrolle,Noah Becker,"2,98",Toyota,Produkt H,"130,0",Lager J,Lager B
006,Verpackung prüfen,2024-03-05 01:42:20,Qualitätskontrolle,Lisa Schulz,"4,02",Toyota,Produkt H,"130,0",Lager J,Lager A
006,Paket zur Warenausgabe bringen,2024-03-05 01:43:20,Warenausgang,Timo Wagner,"8,35",Toyota,Produkt H,"130,0",Lager E,Lager E
006,Paket an Kunde übergeben,2024-03-05 02:01:20,Warenausgang,Sarah Schmidt,"5,36",Toyota,Produkt H,"130,0",Lager A,Lager D
006,Bestellstatus im System ändern,2024-03-05 02:43:20,Warenausgang,Nico Schmidt,"2,19",Toyota,Produkt H,"130,0",Lager B,Lager C
007,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Emilia Wagner,"1,7",Sony,Produkt F,"110,0",Lager G,Lager A
007,Kunden-Daten in System übertragen,2024-03-04 20:51:20,Auftragsannahme,Hannah Meyer,"2,7",Sony,Produkt F,"110,0",Lager G,Lager D
007,Zahlvorgang abschließen,2024-03-04 21:39:20,Auftragsannahme,Jonas Richter,"3,82",Sony,Produkt F,"110,0",Lager F,Lager E
007,Bestellung im System eintragen,2024-03-04 22:29:20,Auftragsannahme,David Meyer,"4,52",Sony,Produkt F,"110,0",Lager E,Lager E
007,Lagerbestand überprüfen,2024-03-04 22:49:20,Bestandsverwaltung,Lisa Schulz,"1,71",Sony,Produkt F,"110,0",Lager I,Lager F
007,Auftragsabwicklung im System starten,2024-03-04 23:15:20,Bestandsverwaltung,Laura Fischer,"5,05",Sony,Produkt F,"110,0",Lager A,Lager H
007,Artikel zusammenstellen,2024-03-04 23:28:20,Lager,Luca Huber,"4,35",Sony,Produkt F,"110,0",Lager B,Lager A
007,Ware verpacken,2024-03-05 00:08:20,Lager,Lisa Schulz,"6,48",Sony,Produkt F,"110,0",Lager C,Lager C
007,Gewicht prüfen,2024-03-05 00:46:20,Qualitätskontrolle,Jan Becker,"1,49",Sony,Produkt F,"110,0",Lager G,Lager D
007,Anzahl der Artikel überprüfen,2024-03-05 01:01:20,Qualitätskontrolle,Hannah Meyer,"4,72",Sony,Produkt F,"110,0",Lager H,Lager J
007,Verpackung prüfen,2024-03-05 01:07:20,Qualitätskontrolle,Jonas Richter,"5,79",Sony,Produkt F,"110,0",Lager A,Lager D
007,Paket zur Warenausgabe bringen,2024-03-05 01:35:20,Warenausgang,Leonie Richter,"8,03",Sony,Produkt F,"110,0",Lager F,Lager D
007,Paket an Kunde übergeben,2024-03-05 01:46:20,Warenausgang,Timo Wagner,"8,5",Sony,Produkt F,"110,0",Lager E,Lager C
007,Bestellstatus im System ändern,2024-03-05 02:03:20,Warenausgang,Paul Zimmer,"1,16",Sony,Produkt F,"110,0",Lager I,Lager A
008,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Emma Weber,"1,24",Nestlé,Produkt I,"90,0",Lager I,Lager F
008,Kunden-Daten in System übertragen,2024-03-04 20:39:20,Auftragsannahme,Max Mustermann,"2,04",Nestlé,Produkt I,"90,0",Lager F,Lager J
008,Zahlvorgang abschließen,2024-03-04 20:50:20,Auftragsannahme,Noah Becker,"4,25",Nestlé,Produkt I,"90,0",Lager C,Lager E
008,Bestellung im System eintragen,2024-03-04 21:45:20,Auftragsannahme,Hannah Meyer,"4,6",Nestlé,Produkt I,"90,0",Lager E,Lager F
008,Lagerbestand überprüfen,2024-03-04 22:27:20,Bestandsverwaltung,Luca Huber,"1,3",Nestlé,Produkt I,"90,0",Lager F,Lager A
008,Auftragsabwicklung im System starten,2024-03-04 22:31:20,Bestandsverwaltung,Luca Huber,"6,78",Nestlé,Produkt I,"90,0",Lager G,Lager I
008,Artikel zusammenstellen,2024-03-04 23:13:20,Lager,Emma Weber,"4,72",Nestlé,Produkt I,"90,0",Lager B,Lager G
008,Ware verpacken,2024-03-04 23:42:20,Lager,Nico Schmidt,"5,59",Nestlé,Produkt I,"90,0",Lager E,Lager I
008,Gewicht prüfen,2024-03-04 23:46:20,Qualitätskontrolle,Paul Zimmer,"2,66",Nestlé,Produkt I,"90,0",Lager I,Lager E
008,Anzahl der Artikel überprüfen,2024-03-05 00:14:20,Qualitätskontrolle,Nico Schmidt,"2,64",Nestlé,Produkt I,"90,0",Lager B,Lager B
008,Verpackung prüfen,2024-03-05 01:02:20,Qualitätskontrolle,Laura Fischer,"4,47",Nestlé,Produkt I,"90,0",Lager A,Lager E
008,Informationen an Transporteur übermitteln,2024-03-05 02:02:20,Warenausgang,Hannah Meyer,"10,47",Nestlé,Produkt I,"90,0",Lager G,Lager I
008,Paket an Transporteur übergeben,2024-03-05 02:53:20,Warenausgang,Luca Huber,"9,75",Nestlé,Produkt I,"90,0",Lager G,Lager F
008,Bestellstatus im System ändern,2024-03-05 03:39:20,Warenausgang,Lisa Schulz,"2,62",Nestlé,Produkt I,"90,0",Lager J,Lager D
009,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Nico Schmidt,"2,77",PepsiCo,Produkt T,"85,0",Lager B,Lager J
009,Kunden-Daten in System übertragen,2024-03-04 20:31:20,Auftragsannahme,Emma Weber,"3,15",PepsiCo,Produkt T,"85,0",Lager F,Lager B
009,Zahlvorgang abschließen,2024-03-04 21:14:20,Auftragsannahme,Timo Wagner,"3,67",PepsiCo,Produkt T,"85,0",Lager D,Lager B
009,Bestellung im System eintragen,2024-03-04 22:05:20,Auftragsannahme,Lisa Mueller,"8,95",PepsiCo,Produkt T,"85,0",Lager J,Lager C
009,Lagerbestand überprüfen,2024-03-04 22:12:20,Bestandsverwaltung,Mia Schmitt,"1,79",PepsiCo,Produkt T,"85,0",Lager F,Lager A
009,Auftragsabwicklung im System starten,2024-03-04 22:45:20,Bestandsverwaltung,Laura Fischer,"8,41",PepsiCo,Produkt T,"85,0",Lager F,Lager F
009,Artikel zusammenstellen,2024-03-04 23:42:20,Lager,Hannah Meyer,"5,95",PepsiCo,Produkt T,"85,0",Lager G,Lager J
009,Ware verpacken,2024-03-05 00:12:20,Lager,Leonie Richter,"6,76",PepsiCo,Produkt T,"85,0",Lager C,Lager E
009,Gewicht prüfen,2024-03-05 00:15:20,Qualitätskontrolle,Nico Schmidt,"2,42",PepsiCo,Produkt T,"85,0",Lager A,Lager D
009,Anzahl der Artikel überprüfen,2024-03-05 00:18:20,Qualitätskontrolle,Timo Wagner,"3,3",PepsiCo,Produkt T,"85,0",Lager C,Lager C
009,Verpackung prüfen,2024-03-05 00:28:20,Qualitätskontrolle,Sophia Lang,"6,09",PepsiCo,Produkt T,"85,0",Lager G,Lager J
009,Informationen an Transporteur übermitteln,2024-03-05 01:17:20,Warenausgang,Jan Becker,"9,73",PepsiCo,Produkt T,"85,0",Lager C,Lager F
009,Paket an Transporteur übergeben,2024-03-05 01:23:20,Warenausgang,Mia Schmitt,"7,21",PepsiCo,Produkt T,"85,0",Lager F,Lager D
009,Bestellstatus im System ändern,2024-03-05 02:06:20,Warenausgang,Sophia Lang,"2,74",PepsiCo,Produkt T,"85,0",Lager E,Lager G
010,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Emilia Wagner,"2,32",BASF,Produkt O,"120,0",Lager J,Lager A
010,Kunden-Daten in System übertragen,2024-03-04 20:59:20,Auftragsannahme,Luca Huber,"4,16",BASF,Produkt O,"120,0",Lager G,Lager I
010,Zahlvorgang abschließen,2024-03-04 21:27:20,Auftragsannahme,Paul Zimmer,"4,05",BASF,Produkt O,"120,0",Lager J,Lager F
010,Bestellung im System eintragen,2024-03-04 21:57:20,Auftragsannahme,Lena Mueller,"4,1",BASF,Produkt O,"120,0",Lager C,Lager A
010,Lagerbestand überprüfen,2024-03-04 22:27:20,Bestandsverwaltung,Lena Mueller,"2,64",BASF,Produkt O,"120,0",Lager I,Lager A
010,Auftragsabwicklung im System starten,2024-03-04 22:44:20,Bestandsverwaltung,Emilia Wagner,"8,61",BASF,Produkt O,"120,0",Lager B,Lager A
010,Artikel zusammenstellen,2024-03-04 23:34:20,Lager,Nico Schmidt,"5,99",BASF,Produkt O,"120,0",Lager I,Lager E
010,Ware verpacken,2024-03-04 23:39:20,Lager,Jan Becker,"6,94",BASF,Produkt O,"120,0",Lager H,Lager H
010,Gewicht prüfen,2024-03-04 23:50:20,Qualitätskontrolle,Nico Schmidt,"2,37",BASF,Produkt O,"120,0",Lager I,Lager A
010,Anzahl der Artikel überprüfen,2024-03-04 23:59:20,Qualitätskontrolle,Emilia Wagner,"4,56",BASF,Produkt O,"120,0",Lager G,Lager B
010,Verpackung prüfen,2024-03-05 00:07:20,Qualitätskontrolle,David Meyer,"6,87",BASF,Produkt O,"120,0",Lager G,Lager B
010,Informationen an Transporteur übermitteln,2024-03-05 00:10:20,Warenausgang,Luca Huber,"10,27",BASF,Produkt O,"120,0",Lager G,Lager J
010,Paket an Transporteur übergeben,2024-03-05 00:13:20,Warenausgang,Hannah Meyer,"7,45",BASF,Produkt O,"120,0",Lager J,Lager B
010,Bestellstatus im System ändern,2024-03-05 00:44:20,Warenausgang,Laura Fischer,"2,16",BASF,Produkt O,"120,0",Lager J,Lager C
011,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Paul Zimmer,"1,78",Samsung Electronics,Produkt S,"90,0",Lager C,Lager I
011,Kunden-Daten in System übertragen,2024-03-04 21:23:20,Auftragsannahme,Sophia Lang,"4,82",Samsung Electronics,Produkt S,"90,0",Lager I,Lager G
011,Zahlvorgang abschließen,2024-03-04 21:44:20,Auftragsannahme,Jan Becker,"3,09",Samsung Electronics,Produkt S,"90,0",Lager J,Lager A
011,Bestellung im System eintragen,2024-03-04 22:36:20,Auftragsannahme,Lisa Schulz,"5,86",Samsung Electronics,Produkt S,"90,0",Lager D,Lager F
011,Lagerbestand überprüfen,2024-03-04 23:22:20,Bestandsverwaltung,David Meyer,"2,8",Samsung Electronics,Produkt S,"90,0",Lager A,Lager A
011,Auftragsabwicklung im System starten,2024-03-04 23:47:20,Bestandsverwaltung,Jonas Richter,"9,01",Samsung Electronics,Produkt S,"90,0",Lager H,Lager F
011,Artikel zusammenstellen,2024-03-05 00:11:20,Lager,Hannah Meyer,"4,73",Samsung Electronics,Produkt S,"90,0",Lager E,Lager F
011,Ware verpacken,2024-03-05 00:23:20,Lager,Timo Wagner,"5,21",Samsung Electronics,Produkt S,"90,0",Lager F,Lager E
011,Gewicht prüfen,2024-03-05 00:39:20,Qualitätskontrolle,Hannah Meyer,"1,69",Samsung Electronics,Produkt S,"90,0",Lager E,Lager G
011,Anzahl der Artikel überprüfen,2024-03-05 01:06:20,Qualitätskontrolle,Luca Huber,"4,73",Samsung Electronics,Produkt S,"90,0",Lager J,Lager I
011,Verpackung prüfen,2024-03-05 01:51:20,Qualitätskontrolle,Paul Zimmer,"3,43",Samsung Electronics,Produkt S,"90,0",Lager B,Lager H
011,Paket zur Warenausgabe bringen,2024-03-05 02:04:20,Warenausgang,Lisa Mueller,"9,0",Samsung Electronics,Produkt S,"90,0",Lager D,Lager B
011,Paket an Kunde übergeben,2024-03-05 02:11:20,Warenausgang,Hannah Meyer,"5,96",Samsung Electronics,Produkt S,"90,0",Lager D,Lager G
011,Bestellstatus im System ändern,2024-03-05 02:32:20,Warenausgang,Hannah Meyer,"2,89",Samsung Electronics,Produkt S,"90,0",Lager F,Lager B
012,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Luca Huber,"1,11",Boeing,Produkt R,"130,0",Lager E,Lager E
012,Kunden-Daten in System übertragen,2024-03-04 20:31:20,Auftragsannahme,Emma Weber,"4,69",Boeing,Produkt R,"130,0",Lager C,Lager I
012,Zahlvorgang abschließen,2024-03-04 20:46:20,Auftragsannahme,Luca Huber,"5,24",Boeing,Produkt R,"130,0",Lager F,Lager B
012,Bestellung im System eintragen,2024-03-04 21:19:20,Auftragsannahme,Leonie Richter,"7,71",Boeing,Produkt R,"130,0",Lager D,Lager J
012,Lagerbestand überprüfen,2024-03-04 21:56:20,Bestandsverwaltung,Luca Huber,"2,91",Boeing,Produkt R,"130,0",Lager C,Lager D
012,Auftragsabwicklung im System starten,2024-03-04 22:18:20,Bestandsverwaltung,Sarah Schmidt,"8,5",Boeing,Produkt R,"130,0",Lager B,Lager G
012,Artikel zusammenstellen,2024-03-04 22:23:20,Lager,Paul Zimmer,"3,19",Boeing,Produkt R,"130,0",Lager G,Lager E
012,Ware verpacken,2024-03-04 22:39:20,Lager,Lisa Mueller,"4,36",Boeing,Produkt R,"130,0",Lager H,Lager C
012,Gewicht prüfen,2024-03-04 23:26:20,Qualitätskontrolle,Lisa Mueller,"2,24",Boeing,Produkt R,"130,0",Lager E,Lager G
012,Anzahl der Artikel überprüfen,2024-03-04 23:51:20,Qualitätskontrolle,Noah Becker,"3,62",Boeing,Produkt R,"130,0",Lager G,Lager A
012,Verpackung prüfen,2024-03-04 23:55:20,Qualitätskontrolle,Nico Schmidt,"5,81",Boeing,Produkt R,"130,0",Lager H,Lager I
012,Paket zur Warenausgabe bringen,2024-03-05 00:53:20,Warenausgang,Emilia Wagner,"5,1",Boeing,Produkt R,"130,0",Lager J,Lager D
012,Paket an Kunde übergeben,2024-03-05 01:00:20,Warenausgang,Sophia Lang,"7,86",Boeing,Produkt R,"130,0",Lager G,Lager E
012,Bestellstatus im System ändern,2024-03-05 01:48:20,Warenausgang,Paul Zimmer,"1,79",Boeing,Produkt R,"130,0",Lager A,Lager A
013,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Emilia Wagner,"3,0",Hitachi,Produkt J,"75,0",Lager G,Lager A
013,Kunden-Daten in System übertragen,2024-03-04 21:20:20,Auftragsannahme,Nico Schmidt,"2,59",Hitachi,Produkt J,"75,0",Lager I,Lager B
013,Zahlvorgang abschließen,2024-03-04 22:05:20,Auftragsannahme,Lisa Schulz,"5,63",Hitachi,Produkt J,"75,0",Lager I,Lager G
013,Bestellung im System eintragen,2024-03-04 22:43:20,Auftragsannahme,Nico Schmidt,"5,11",Hitachi,Produkt J,"75,0",Lager A,Lager D
013,Lagerbestand überprüfen,2024-03-04 22:45:20,Bestandsverwaltung,Lena Mueller,"1,06",Hitachi,Produkt J,"75,0",Lager B,Lager H
013,Auftragsabwicklung im System starten,2024-03-04 23:36:20,Bestandsverwaltung,Paul Zimmer,"7,11",Hitachi,Produkt J,"75,0",Lager I,Lager B
013,Artikel zusammenstellen,2024-03-05 00:16:20,Lager,Laura Fischer,"4,07",Hitachi,Produkt J,"75,0",Lager A,Lager I
013,Ware verpacken,2024-03-05 00:49:20,Lager,Sophia Lang,"6,69",Hitachi,Produkt J,"75,0",Lager H,Lager H
013,Gewicht prüfen,2024-03-05 00:58:20,Qualitätskontrolle,Lena Mueller,"2,98",Hitachi,Produkt J,"75,0",Lager I,Lager A
